complexity,loc,language_type,maint_type,skill,age,interdependence,team_size,exp,def_density,def_severity,churn,change_req,test_cov,doc_quality,cost
74,41357,java,perfective,5,0,medium,4,expert,2.6241608169621444,low,51.76389356894345,14,33.0632954859542,3.6883375624242523,15270.151465417668
17,10292,dart,adaptive,5,1,medium,8,junior,2.417645074796816,low,38.19580190452688,47,9.031856029907303,1.128479024271258,5781.721103966452
69,46358,kotlin,perfective,1,0,high,9,senior,4.830141128439505,medium,56.43010646698302,31,56.265411967130916,1.5335969407099577,15507.866280831035
34,7473,c#,adaptive,10,10,low,1,senior,8.868315394689592,medium,11.453286832634824,76,47.90407256746136,3.7454889310905735,7184.264574373781
6,6275,python,adaptive,5,8,medium,7,senior,3.7834758168264693,high,99.69905028125511,84,10.455445815102426,1.849482621209991,6218.471449063747
53,761,c#,adaptive,2,8,low,9,senior,7.497257467835433,high,42.55558776967175,39,61.24895070970834,4.430350703049607,5712.374524340457
66,37665,python,adaptive,7,6,medium,5,junior,0.968187309872186,medium,34.82306397073687,96,73.79531202529385,1.2343635508405417,13674.720301123474
77,27157,python,perfective,3,9,medium,2,senior,4.760567021510617,low,71.02098483162649,56,76.72783010536483,1.8619279311422985,11604.82051128163
43,34363,java,corrective,4,2,high,6,senior,9.916861403927356,high,36.389940649533244,57,90.53731882624274,4.9942409939402745,13781.391704652022
75,33206,javascript,adaptive,3,12,low,7,junior,7.70437802792337,medium,83.32743050287577,90,40.94707418887772,2.7323044103471705,14016.589663535073
23,12134,php,corrective,3,4,low,2,senior,2.10528488440613,low,45.42707243604253,98,95.3072768622137,3.811862654178574,7505.739286765439
55,29727,ruby,corrective,4,3,medium,2,junior,5.0144147369791074,medium,71.95584132654349,15,86.5429405082686,1.7306521954280547,10955.367303111412
75,40997,ruby,adaptive,5,6,low,1,senior,2.3362476364856652,high,10.745321644188655,27,29.650157102393905,3.439474939942151,15653.421524606156
16,26451,javascript,adaptive,1,13,low,4,junior,4.095609272625093,high,84.61191855551118,97,15.928303734945848,3.904424273477674,12380.906601878884
8,1616,java,preventive,4,8,medium,7,senior,7.8008402373496475,medium,73.57179867781099,0,43.53893961280134,2.257906543466042,3940.7652209875214
4,24853,java,adaptive,8,11,low,9,senior,7.712248152904037,medium,21.17167784619657,40,40.18987079559666,4.315588447903512,10478.52250842687
4,56191,dart,perfective,10,1,low,3,senior,2.2810037790238513,high,14.528600974578666,47,57.57193053312043,3.413670313889133,17367.456059963846
56,24876,python,adaptive,7,12,high,7,senior,9.222233181548601,medium,31.62923487256244,30,58.3386232327748,2.556492038460121,11024.931384616912
25,23847,php,adaptive,9,7,medium,7,expert,5.925681827648268,medium,97.60705860319044,35,74.99869843799752,3.2305695733726343,10119.991780451943
67,24900,javascript,corrective,5,8,low,7,junior,3.799242909620145,low,25.683157456705864,32,50.98899482056102,3.307043389743697,10868.286151701483
67,9129,javascript,corrective,10,9,low,2,junior,5.019355807808607,high,45.612720894663326,32,10.482264094076555,1.662141170775464,7382.412827236833
27,17862,ruby,corrective,4,13,medium,6,expert,6.050712534377437,low,3.0020225717336313,81,85.8291335553106,2.6109294794678646,8929.47162672128
32,9868,javascript,adaptive,8,9,low,2,junior,5.598905318457854,low,39.72275295662325,22,30.976458318518706,2.3737223520779724,6523.478916743827
50,21871,php,corrective,9,8,medium,6,expert,4.8640503553617815,medium,57.132001543310274,59,97.1297460306592,2.6036108903165043,9912.091402460248
61,12785,typescript,corrective,7,13,low,3,expert,5.049328040894001,low,95.3124612507965,86,11.786010867977016,4.044442353941031,9889.435035807175
51,21843,javascript,corrective,7,9,medium,2,senior,1.7641191042788618,medium,51.67360449400644,78,95.82511722325032,2.9301536298666906,10267.118679744974
19,39699,java,preventive,5,13,medium,6,expert,8.127329043046794,low,81.91073261776877,89,9.101180688251699,4.761264612957057,15876.348793966312
21,9171,javascript,corrective,4,6,medium,2,junior,5.417603199410154,medium,54.712764256890054,29,23.103613794705947,2.174705653433745,6413.48768393432
5,58436,typescript,adaptive,10,8,high,5,senior,1.310798617047031,low,4.07850134355181,88,4.657994208654159,2.662814313139716,18754.45077202692
42,40576,java,corrective,1,8,medium,2,senior,7.661571015827779,low,31.500827518977403,44,70.5113146638995,4.147827241916166,14921.875115323704
61,38644,c#,adaptive,10,13,low,3,senior,9.324439783773508,low,57.55495078311033,79,85.02987365717918,3.184098373283001,14656.254912145363
22,51814,c#,corrective,10,2,low,3,expert,9.47306899236962,high,95.05939659311244,38,43.40710818159804,3.188112585697791,17121.383435573054
21,49816,ruby,corrective,7,3,medium,6,junior,3.6901773241117275,high,85.91303597512334,44,92.85220750424297,1.213360652020734,15111.390030957227
70,49584,python,adaptive,1,1,low,6,senior,1.3551687356075404,low,22.835561417884765,77,59.029907175559956,2.5943986508738233,16776.843198785773
1,41374,ruby,corrective,1,9,low,3,senior,5.183996266330651,high,22.01098300191635,80,63.00071354465232,2.08293492968693,14118.788765095389
5,3168,typescript,corrective,5,2,high,3,senior,1.1260922934922069,medium,20.117296711390075,11,84.54192017007699,4.9973404913244615,4915.332511186717
12,55215,python,corrective,9,10,medium,1,junior,9.339874185126172,high,92.24988963025031,92,29.68002050518389,2.233420282529241,18326.066429071623
46,2627,java,corrective,6,10,medium,7,senior,1.83579627355146,medium,85.26661531017207,31,35.42657213276258,4.5379861391754535,6270.299927698416
34,3295,kotlin,corrective,3,4,medium,8,expert,2.527658599511641,medium,77.48834322529487,55,90.59519191946444,3.70493494016191,5457.075329315826
49,59439,python,corrective,3,4,medium,2,junior,4.0663652688497045,low,39.27351142242276,23,90.09634960387638,2.3636656367683617,18109.073434201928
78,48790,php,perfective,7,5,low,4,expert,3.831644685591258,medium,50.43807042987668,12,97.64827762008709,3.1741375134964946,16531.964816913394
45,5858,javascript,adaptive,6,12,high,7,senior,7.94662892397889,high,46.43317447951528,19,90.18383164416711,4.362143519796775,6771.271729675859
27,22602,java,adaptive,9,6,low,8,senior,4.563168205509624,medium,25.339810755937265,78,12.73720360333609,4.5334731921236475,10886.808544383068
73,40104,php,corrective,6,6,high,1,senior,1.707682600033369,low,50.502804614876695,55,82.37242861369873,1.6415755000245809,14435.948349102931
26,33759,javascript,preventive,5,0,high,4,junior,2.672098954860741,low,3.0496547852754463,52,40.9838478109594,2.3582925648326785,12058.458846942634
47,14586,javascript,corrective,10,13,high,6,senior,5.09113385187522,high,13.181037349745917,67,99.08013559459378,2.3408927208542867,8403.46914561402
56,13266,java,corrective,7,1,medium,3,expert,1.474539174261349,medium,88.65895961689463,53,47.22809643288011,1.1681791843037788,7670.894020369114
63,39260,javascript,adaptive,1,11,low,5,senior,6.116556756460141,medium,75.16797670314233,33,55.38360825022206,3.392951039407586,14917.245854231698
48,4161,python,corrective,7,8,medium,9,expert,5.657473065511459,high,42.286840905908704,27,52.97749152567985,4.419280211968752,6567.725581997635
61,27454,java,corrective,3,9,medium,3,senior,7.147023163822577,low,51.715036228387724,49,32.17370298582778,2.526297551302071,11942.642294757552
26,39552,kotlin,adaptive,9,1,medium,5,junior,9.377046153793676,medium,36.999888595997746,1,7.502208889291817,3.960143779936708,13929.285661811697
36,52851,java,perfective,6,5,high,8,senior,9.122545611011557,high,74.07798671606724,93,89.56512304019185,3.5108016544029597,17952.290860901514
1,23262,c#,adaptive,9,10,medium,6,expert,9.460756180688314,medium,78.41871792320796,25,80.26758125262869,2.5025949419720033,9242.687161915814
8,8992,java,perfective,5,10,low,4,senior,2.4471559702370094,low,76.32851902031591,50,13.952678055966928,1.5642391979691883,6131.3774963710075
52,31135,php,preventive,7,0,low,8,expert,1.3156530663935462,medium,72.26117248344495,46,77.67682713500729,3.8372954111038693,12188.2287687223
79,13667,python,corrective,4,2,medium,3,expert,3.022767004964485,high,20.450433869279582,25,62.584666605061,4.418260675764962,9282.66614204358
47,48633,kotlin,corrective,7,1,medium,3,senior,8.950851727663146,low,33.79699792404788,83,40.91437879176223,3.7434179696059675,16987.245913049494
56,52856,javascript,corrective,1,2,high,4,junior,9.720534746234883,high,46.98454349836749,91,25.40211490955627,1.0715139361392723,17961.198859819226
14,24199,java,adaptive,7,4,medium,9,senior,8.59324951070476,high,33.079299142765564,83,85.97287835022325,1.864931577563965,9516.094940915933
28,35822,python,adaptive,8,10,high,5,senior,1.100177211275436,low,75.4940200158329,74,70.01882592940531,1.2779199395341276,12720.249528664017
78,12437,python,preventive,5,9,high,8,senior,9.474279980597931,high,32.935352424995465,73,54.773990946913685,3.281544398304907,9290.371354508798
2,14639,javascript,perfective,2,5,high,6,senior,4.23358027350786,medium,13.823208678533716,60,60.95685338984641,4.02591071536165,8054.137972338342
26,58748,java,adaptive,5,8,low,3,senior,0.09310290762353679,medium,39.90404520483041,22,9.106618208218098,1.4423167482746377,18146.119636713567
14,31418,php,corrective,6,11,high,8,senior,4.423937407481936,high,97.99144327823804,36,47.39197609111919,4.353351282373541,12857.96301266952
59,19715,javascript,perfective,2,10,low,9,senior,0.4606916967546759,high,22.588141293357587,40,19.3700292785702,3.2220359135819328,10316.49727220133
56,11565,java,preventive,6,9,low,8,senior,5.438779211611175,low,61.21586589432291,51,20.838367900882538,3.7598760485668996,8297.986264322693
7,25138,c#,perfective,6,11,medium,4,senior,3.385540274370513,medium,43.29730498397063,82,66.13039622868668,4.885607394434585,11336.509008198613
3,43130,ruby,corrective,1,11,medium,6,senior,4.734349335940488,medium,7.102456764932663,81,91.1256151834288,1.3347239529907893,13855.381836251297
23,5656,python,adaptive,1,12,low,1,senior,6.13170360743117,medium,48.787660599805946,48,40.375661047834654,4.604896091911157,6994.53418356004
18,33082,python,corrective,10,3,low,4,expert,8.688010958178204,medium,70.21643286483125,26,20.774927301219037,1.5044107839496372,11731.00801587911
38,48316,python,corrective,3,6,low,8,senior,6.619015764719286,low,51.321997582781876,5,64.87469372366542,2.571835226546729,15284.661306194794
15,8710,ruby,corrective,10,5,high,1,senior,4.340488684781807,medium,87.21060637465811,73,87.11870463503178,4.405754785324458,7099.3409673766
64,14373,c#,adaptive,10,1,low,3,senior,8.194278536703651,medium,28.893701665758265,65,74.83188011224908,4.625016946951472,8910.938166356651
28,27866,javascript,adaptive,3,9,low,1,junior,9.055821375731322,low,8.624917130396492,23,86.87572305365872,3.0254866941805814,10587.085495153751
74,53592,php,corrective,4,10,medium,9,junior,1.1975996643219722,high,93.65656116580061,37,53.655467101079935,3.3764185531017006,18545.381869204703
39,18012,php,corrective,2,10,medium,2,expert,5.3193297755279145,high,37.8196349528219,27,75.1876244369191,3.8325893383942287,9722.872058649424
57,57137,javascript,adaptive,9,10,high,9,senior,2.8451195974244414,medium,57.64055514536334,27,14.006455935893648,4.331034673810857,19678.961616430373
17,33870,php,corrective,10,7,low,4,senior,0.470611978769474,low,79.20031261301959,65,34.82746153631915,1.4860446781506647,11928.050000910807
44,7510,java,corrective,7,6,medium,2,senior,6.685466951139853,medium,32.43136638755806,60,38.95491644815225,4.2402772329169105,7460.6791309717555
25,46053,python,adaptive,7,6,medium,4,junior,8.627707774592256,low,71.61645381776111,45,51.12957462460346,2.925104602046467,15300.976079953996
17,26046,java,perfective,6,13,high,6,senior,1.6290265447739405,low,13.541884981782804,68,92.90763602568236,2.802493700432676,10506.335155327553
13,56690,python,corrective,3,7,medium,7,senior,8.124136576239005,high,29.129374720550526,74,87.42965602221743,2.695599007987993,17819.043158176515
25,54240,javascript,corrective,6,11,high,3,senior,8.533957335369417,low,14.47106361365199,73,13.452549228918453,3.0368463409841704,18462.094744685484
68,806,typescript,corrective,8,11,low,3,senior,9.143404426664835,low,81.12305584013578,42,17.27896518824632,4.780202213578415,6646.411389495823
10,22118,python,preventive,8,12,medium,8,junior,2.652850890860524,low,22.264923522678536,58,35.76405495889114,3.1928150911686064,9608.863842832492
67,22961,python,adaptive,9,13,medium,5,junior,9.039530651898893,low,71.74035554052102,1,29.07438658906739,4.8127101530525564,11408.85621293038
18,57473,javascript,adaptive,1,10,high,4,expert,3.2066275473643224,low,94.32983972456526,14,61.47709531562623,1.7211605224625623,17817.939210751538
34,24019,typescript,corrective,1,0,low,7,senior,5.523380134555028,high,52.7772209068877,36,90.2776047764545,3.8965439153305326,10081.189761526995
8,51236,java,adaptive,3,12,low,7,senior,0.5050747083228213,low,54.00291922606877,70,96.22915416725868,4.248958154434989,16676.988305636776
40,57610,javascript,corrective,3,0,medium,9,junior,0.43881088368743604,low,46.103356809781204,19,65.36029525352265,3.7165153253394476,17735.99800005699
42,49302,python,adaptive,10,7,low,9,junior,7.203732127322029,low,32.589014339364276,97,83.81592014010867,3.4276891209061615,16412.611796913327
41,50615,python,preventive,8,3,low,5,senior,4.44479977977791,high,47.56550309249171,34,52.52022002307971,3.259251124344729,16775.67725348986
6,52542,dart,adaptive,10,4,high,8,senior,2.562923753692176,medium,60.28075322667594,33,20.832694686003972,4.4437219303147835,17315.432569256147
52,57160,kotlin,perfective,1,7,medium,1,senior,1.904134960249102,medium,98.59915721706594,85,52.46884120934774,4.286586388658,19964.585807406347
26,42123,python,perfective,2,4,medium,9,junior,6.699534908592181,high,93.77645593182243,30,55.508260143765106,1.489154884722398,13784.647613400875
64,54868,kotlin,corrective,2,9,high,8,senior,0.004015440253398728,medium,86.21529582931218,86,74.24575642135565,4.3943506281235125,19446.073433097004
59,45751,c#,preventive,3,3,medium,6,junior,8.058911691968543,medium,88.91305357048583,18,21.98829897073491,2.65627447776177,15851.282025458018
56,23003,php,corrective,6,11,low,3,junior,0.7924960612992882,low,46.784918329204295,67,36.83103820867317,2.014787319983243,10469.819343177967
59,18741,javascript,adaptive,1,5,low,3,senior,1.9148961490811944,medium,65.74443271774648,23,36.40274692145663,4.479074272055703,10156.080066534021
70,15420,javascript,corrective,2,12,medium,8,junior,3.862363952990896,medium,89.50667229362142,83,95.94395957411649,2.7280991985349665,9080.237067789973
33,40942,javascript,corrective,1,11,medium,5,junior,4.848587397161036,medium,39.295076499135305,38,44.394496032671896,4.233458760707267,15132.59457092607
53,6974,c#,adaptive,5,4,medium,7,senior,3.549951158139418,low,96.17624783454688,91,75.50939672981465,2.053614447823378,6267.963819081693
22,56644,python,corrective,7,13,low,5,senior,3.207121649842939,medium,41.5786062069183,53,75.0811381374439,1.0157172856888712,17205.263961813376
21,2278,python,adaptive,8,6,medium,8,expert,9.639160120731884,low,60.10826653932156,38,26.554418480324138,2.9818367716117775,5020.518658127431
70,52994,java,adaptive,10,13,high,4,senior,6.415796812433943,low,70.9804713272372,16,57.18696893717321,1.400913026571537,17473.174432035696
70,54388,ruby,corrective,1,9,high,2,junior,0.23432955367388209,medium,95.05920130759384,18,89.43028933186481,4.017503822099639,18648.28033367313
4,34427,java,corrective,7,6,high,3,junior,4.301759084443132,high,24.461627405226604,47,47.51977194569494,2.1043005442776415,12270.94334390899
75,56420,c#,adaptive,5,12,high,8,expert,8.750086997439702,medium,74.61309782386422,34,94.5117507342546,2.774582586413915,19022.24259284514
62,16798,kotlin,corrective,10,3,medium,7,senior,3.0145618641066796,medium,52.081558614408216,31,21.44582293241616,1.348134260366217,8370.624210692209
62,10514,python,perfective,1,11,high,2,senior,0.9455634477438823,low,26.855714062064106,46,7.415910577403073,2.1466369937890106,8231.022754343141
24,28490,c#,adaptive,3,12,low,6,junior,7.583847715899178,low,77.66068397963906,46,89.14538731447493,4.125960973034288,11377.690361187233
55,52909,javascript,perfective,7,4,medium,9,senior,6.060138319360813,low,55.22222801738466,63,84.76811979622167,1.6063516476092778,16604.065300309874
9,22899,php,adaptive,10,12,medium,4,junior,5.703125078265039,medium,66.09738206496758,45,99.25898759338448,3.5886382445078295,9557.851436781872
3,44185,python,adaptive,1,2,low,9,senior,0.5357655960740793,low,32.2901068577901,34,67.93934881124261,4.669703411218005,14392.825746051098
31,44289,c#,adaptive,7,3,high,2,expert,1.4049900979551733,low,48.1273951827605,93,93.66879266671495,3.719347039030881,15680.715580290274
40,43157,php,corrective,5,13,high,2,expert,6.225493962131138,high,61.73542509880671,16,82.69490250841109,4.244086757168907,16104.091467602375
36,49680,typescript,corrective,1,3,low,9,senior,2.078238414588358,low,40.4910814269844,41,84.44263331200868,1.4358865172156632,15064.892820766028
